condition,seed,best_success,final_success,n_evals
jerk,0,0.28,0.28,3
jerk,1,0.34,0.3,5
jerk,2,0.3,0.3,5
jerk,3,0.36,0.22,4
jerk,4,0.32,0.32,3
nocuration,0,0.3,0.3,5
nocuration,1,0.38,0.14,5
nocuration,2,0.5,0.34,5
nocuration,3,0.46,0.3,6
nocuration,4,0.4,0.3,5
oracle,0,0.86,0.86,3
oracle,1,0.84,0.62,2
oracle,2,0.88,0.88,3
oracle,3,0.86,0.86,3
oracle,4,0.9,0.9,4
path_len,0,0.34,0.14,4
path_len,1,0.26,0.18,3
path_len,2,0.3,0.3,2
path_len,3,0.28,0.28,3
path_len,4,0.3,0.3,4
random,0,0.38,0.28,3
random,1,0.44,0.44,4
random,2,0.34,0.34,2
random,3,0.34,0.28,3
random,4,0.46,0.26,5
sal,0,0.28,0.28,3
sal,1,0.36,0.14,3
sal,2,0.38,0.22,4
sal,3,0.26,0.26,3
sal,4,0.46,0.46,5
ted,0,0.2,0.06,5
ted,1,0.16,0.16,2
ted,2,0.22,0.06,4
ted,3,0.22,0.06,5
ted,4,0.28,0.28,5
